Store,StoreType,Assortment,State,Sales,Customers,SalesPerCustomer,CompetitionDistance,PromoUsage,Promo2,Cluster_3,Cluster_5
1,c,a,HE,3945.704883227176,467.64649681528664,8.437366493917457,1270.0,0.3821656050955414,0.0,2,2
2,a,a,TH,4122.991507430997,486.0456475583864,8.482724880147645,570.0,0.3821656050955414,1.0,0,0
3,a,a,NW,5741.253715498939,620.2866242038217,9.255807704814226,14130.0,0.3821656050955414,1.0,1,0
4,c,c,BE,8021.341825902336,1100.0573248407643,7.29174893414163,620.0,0.3821656050955414,0.0,2,3
5,a,a,SN,3867.1104033970278,444.36093418259026,8.702633615870498,29910.0,0.3821656050955414,0.0,1,1
6,a,a,SN,4562.375796178344,525.9904458598726,8.673875793922294,310.0,0.3821656050955414,0.0,2,2
7,a,c,SH,7355.140127388535,791.4745222929936,9.29295880059391,24000.0,0.3821656050955414,0.0,1,1
8,a,a,SH,4610.251592356688,547.7993630573249,8.415949165450645,7520.0,0.3821656050955414,0.0,2,2
9,a,c,NW,5426.816348195329,479.4872611464968,11.317957301345873,2030.0,0.3821656050955414,0.0,2,2
10,a,a,"HB,NI",4634.4394904458595,494.33227176220805,9.37515059238373,3160.0,0.3821656050955414,0.0,2,2
11,a,c,SH,6668.983014861996,939.9256900212314,7.095223681684192,960.0,0.3821656050955414,1.0,2,0
12,a,c,SH,6316.608280254777,746.5084925690021,8.461535726830212,1070.0,0.3821656050955414,1.0,2,0
13,d,a,BY,4124.77308707124,313.6411609498681,13.151249263901741,310.0,0.37730870712401055,1.0,0,4
14,a,a,NW,4555.386411889596,522.2006369426751,8.723440933661033,1300.0,0.3821656050955414,1.0,0,0
15,d,c,SH,5553.619957537155,552.1305732484077,10.058526418602325,4110.0,0.3821656050955414,1.0,0,0
16,a,c,BW,6335.34076433121,703.1581740976645,9.009837327797698,3270.0,0.3821656050955414,0.0,2,2
17,a,a,TH,5258.814225053078,657.208067940552,8.001749341775831,50.0,0.3821656050955414,1.0,0,0
18,d,c,TH,5446.005307855627,592.1284501061571,9.197337683874613,13840.0,0.3821656050955414,1.0,1,0
19,a,c,NW,5346.251592356688,516.5796178343949,10.349327398493275,3240.0,0.3821656050955414,1.0,0,0
20,d,a,BY,6334.489445910291,692.9525065963061,9.141303892563274,2340.0,0.37730870712401055,1.0,0,4
